DIBARI;30
CENTENARI;30
CARAFA;30
COLOMBARINI;30
STEFANONI;30
CREMA;30
BOVINO;29
TOGNUTTI;29
MILAZZO;29
LONGOBARDI;28
VASSALLO;28
BRIZZOLARA;28
VESPA;27
PAPURELLO;27
IACOVELLI;27
POLINI;27
NISI;27
FURINO;27
ARONICA;27
MONEGHETTI;27
COLOMBINI;27
SPIRIDIONI;26
BAGATO;26
MACCIONI;26
RUTELLI;26
MASSIGNANI;26
ALLIATA;26
SIMBENI;25
MALATERRA;25
BADESSO;25
QUARTARONE;25
SCHISANO;25
BERLINGUER;24
VICINI;24
SCOLLO;24
TUCCI;24
VAILATI;24
TAINO;24
SCIOSCIA;24
VERRAZZANI;24
SERATI;23
DEGAN;23
TOREGIANI;23
NACAR;23
GLORIOSO;23
SCARONI;23
BOCA;22
ROMEI;22
GRADA;22
FORTUNATO;22
GANZERLA;22
DIONIGI;22
TURCHETTA;21
PANGALLI;21
POMPILIO;21
MIRABILI;21
IULIANO;21
ANZILUTTI;21
PAOLAZZI;21
SOLDATI;21
GERMINARIO;21
MARAZZINI;21
ZULIANI;21
ABBATELLI;21
MUSACCO;20
BERLINGHIERI;20
BOMBARDIERI;20
PADOVAN;20
DUTTI;20
BIAMONTE;20
CASA;20
GERAVINI;20
PIANI;20
RAI;20
BUONI;20
FIORESI;19
MURABITO;19
CARO;19
MARCUCCIO;19
NUSCO;19
IAQUINTA;19
CORDINI;19
PANIGATTI;19
NIERO;19
ANTONIOTTI;18
GROTTAGLIE;18
ROFFI;18
ROTONDI;18
FARRI;18
RONCATI;18
GUERNIERI;18
PORCEDDA;18
PARESCHI;18
ANGELO;18
ALDUINI;18
MEMOLA;18
BARBANERA;18
AJALA;18
TAM;18
GIANCIPOLI;18
SERNESI;17
BORTINI;17
SCORDO;17
TUCCERI;17
GALLINARO;17
SCURI;17
RAIMONDO;17
PELLETTI;17
VOLPINO;17
BRUSCA;17
TAGLIERI;17
PAVONE;17
MAGLIOCCA;16
TURATI;16
FAZII;16
VEDDA;16
RAPALLO;16
BREMBILLA;16
BAGIACCHI;16
MUSSI;16
PELLETTIERI;16
CACCIOPPINI;16
BUSSO;16
GALIARDI;15
GUARIBERTO;15
ALESINA;15
MATTEI;15
TIOZZO;15
GERARI;15
ARCIDIACONO;15
FANTINO;15
SCARRAFONI;15
ZAMPRONI;15
TRAVERSINI;15
MERZARIO;15
TAFURI;15
ZAPPALA';15
LASPINA;14
PARTELE;14
NERI;14
PASSONI;14
FINI;14
BECCARINI;14
LANDRIANI;14
TASCINI;14
FOSSALI;14
TUFANISCO;13
CENTAMORI;13
GISMONDI;13
OLIVETTI;13
VALERIANO;13
RIGOTTI;13
BARBARINI;13
GORETTA;13
RUBANO;13
SETTIMI;13
MORICO;12
SIANO;12
CATTANEO;12
GIANI;12
STUCCHI;12
TACCHI;12
TRAININI;12
NASCIMBENI;12
PEDRAZZINI;12
PAPPA;12
SIGNORI;11
PACCIANI;11
BRANDOARDI;11
MARTELLENGHI;11
LAPI;11
D'ANGELO;11
PARAZZOLI;11
SALADINO;11
MARCONATO;11
FACCIOLO;11
AGRIOLI;11
SECHI;11
CACIOPPINI;11
SCORNAIENCHI;11
CADRINGHER;11
VAIRETTI;11
FARINA;11
PAPA;10
TURI;10
ARMELLI;10
CAPIZZI;10
VERDERIO;10
GIACONI;10
CAGGEGGI;10
FULLA;10
TOVI;10
ZAVATTARO;10
ABATICOLA;10
ADINOLFI;10
PASCOLI;10
LELLIS;10
ZIBORDI;9
ZELMI;9
VANNINI;7
